size,cores,latency,Sequential,modify
4194304,6,32.2465,1,0
8388608,6,32.2688,1,0
16777216,6,32.4218,1,0
65536,6,109.739,0,1
131072,6,316.897,0,1
262144,6,565.969,0,1
524288,6,721.633,0,1
1048576,6,788.93,0,1
2097152,6,832.418,0,1
4194304,6,858.482,0,1
8388608,6,880.139,0,1
16777216,6,928.847,0,1
65536,6,89.6425,0,0
131072,6,242.048,0,0
262144,6,403.401,0,0
524288,6,494.134,0,0
1048576,6,544.204,0,0
2097152,6,572.251,0,0
4194304,6,602.057,0,0
8388608,6,619.09,0,0
16777216,6,622.067,0,0
65536,7,19.8781,1,1
131072,7,36.7407,1,1
262144,7,88.3791,1,1
524288,7,101.486,1,1
1048576,7,110.189,1,1
2097152,7,113.595,1,1
4194304,7,114.759,1,1
8388608,7,114.189,1,1
16777216,7,114.253,1,1
65536,7,13.9851,1,0
131072,7,25.9397,1,0
262144,7,36.2731,1,0
524288,7,40.3213,1,0
1048576,7,42.7779,1,0
2097152,7,43.5839,1,0
4194304,7,43.8669,1,0
8388608,7,43.9876,1,0
16777216,7,44.0518,1,0
65536,7,144.3,0,1
131072,7,492.387,0,1
262144,7,749.536,0,1
524288,7,913.092,0,1
1048576,7,1018.56,0,1
2097152,7,1075.92,0,1
4194304,7,1106.68,0,1
8388608,7,1127.29,0,1
16777216,7,1219.51,0,1
65536,7,128.139,0,0
131072,7,344.573,0,0
262144,7,499.305,0,0
524288,7,632.343,0,0
1048576,7,685.014,0,0
2097152,7,714.055,0,0
4194304,7,740.457,0,0
8388608,7,760.692,0,0
16777216,7,838.438,0,0
65536,8,23.2042,1,1
131072,8,55.8937,1,1
262144,8,127.859,1,1
524288,8,140.701,1,1
1048576,8,146.491,1,1
2097152,8,149.595,1,1
4194304,8,150.174,1,1
8388608,8,149.305,1,1
16777216,8,149.489,1,1
65536,8,17.3199,1,0
131072,8,34.0366,1,0
262144,8,47.813,1,0
524288,8,53.2877,1,0
1048576,8,55.3511,1,0
2097152,8,56.5194,1,0
4194304,8,56.8629,1,0
8388608,8,57.0488,1,0
16777216,8,57.1873,1,0
65536,8,226.654,0,1
131072,8,749.335,0,1
262144,8,1038.02,0,1
524288,8,1202.84,0,1
1048576,8,1293.67,0,1
2097152,8,1350.24,0,1
